Type	INode   	Name                	Size(bytes)	Block	B-Size	Depth	Offset	Mode 	UID  	GID  	Path
dir	11141178	01                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/01	
file	11141179	b93cfc47e4af80513dcee1b2ca6418f0e33853	316     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/01/b93cfc47e4af80513dcee1b2ca6418f0e33853	
dir	11141256	19                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/19	
file	11141257	e0c83129efa2fc7af2bf322ee96386693eaf00	413     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/19/e0c83129efa2fc7af2bf322ee96386693eaf00	
dir	11141262	84                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/84	
file	11141263	3f370076d90ab036545cef2860ac2c12f97890	442     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/84/3f370076d90ab036545cef2860ac2c12f97890	
dir	11141137	f6                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/f6	
file	11141138	d7b134463db35aa7a4e5eb7b924471e5311e71	1062642 	2080 	4096 	4   	18  	33060	1000 	1000 	./.git/objects/f6/d7b134463db35aa7a4e5eb7b924471e5311e71	
dir	11141125	38                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/38	
file	11141126	2055f821350b757eb5b828918130a3210462be	234     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/38/2055f821350b757eb5b828918130a3210462be	
dir	11141293	fa                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/fa	
file	11141298	de56459c1c28f1833427ca911d53e9e3fee295	24624   	56   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/fa/de56459c1c28f1833427ca911d53e9e3fee295	
dir	11141285	d8                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/d8	
file	11141286	2730505544451626f2a83c456aeb1cb8c88133	162     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/d8/2730505544451626f2a83c456aeb1cb8c88133	
dir	11141196	c0                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/c0	
file	11141197	51c04a009e13cf7960d6cfbcdfe92d8917d011	414     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/c0/51c04a009e13cf7960d6cfbcdfe92d8917d011	
dir	11141174	e5                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/e5	
file	11141175	4d6ac7cdba61c1ae5b523a25b4b4677b0fc0f5	388     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/e5/4d6ac7cdba61c1ae5b523a25b4b4677b0fc0f5	
dir	11141182	0f                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/0f	
file	11141183	7ca597f4628542ef521c2a6292b600b6f01621	171     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/0f/7ca597f4628542ef521c2a6292b600b6f01621	
dir	11141254	eb                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/eb	
file	11141255	67f9f06a8124773fb91b29485dfe332e89d6dc	4276    	16   	4096 	4   	18  	33060	1000 	1000 	./.git/objects/eb/67f9f06a8124773fb91b29485dfe332e89d6dc	
dir	11141156	cb                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/cb	
file	11141157	127987870acec1f702076f860f58a0a25c9f38	335     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/cb/127987870acec1f702076f860f58a0a25c9f38	
dir	11141212	24                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/24	
file	11141294	1bba83ba68d16569c52d09352cacd56f1880c5	442     	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/24/1bba83ba68d16569c52d09352cacd56f1880c5	
file	11141213	3bdc132b057e58b7748644ef755d488f707aa5	1679    	8    	4096 	4   	18  	33060	1000 	1000 	./.git/objects/24/3bdc132b057e58b7748644ef755d488f707aa5	
dir	11141214	3c                  	4096    	8    	4096 	3   	15  	16893	1000 	1000 	./.git/objects/3c	
